address,section,size_bytes,class,subtype_reason,likely_owner,owner_confidence
0x80315010,.data,2440,data-table,structured .data (relocs/pointers present),dll_007C_dll7cfunc0.c,high
0x80315F84,.data,36,data-table,structured .data (relocs/pointers present),dll_0084_dll84func0.c,high
0x80316000,.data,2912,data-table,structured .data (relocs/pointers present),dll_0085_dll85func0.c,high
0x80316C20,.data,32,data-table,structured .data (relocs/pointers present),dll_008D_dll8dfunc0.c,high
0x80316C70,.data,448,data-table,structured .data (relocs/pointers present),dll_008E_dll8efunc0.c,high
0x80316FD4,.data,36,data-table,structured .data (relocs/pointers present),dll_0090_dll90func0.c,high
0x8031719C,.data,4844,data-table,structured .data (relocs/pointers present),dll_0091_dll91func0.c,high
0x80318690,.data,1920,data-table,structured .data (relocs/pointers present),dll_009F_dll9ffunc0.c,high
0x80318E20,.data,1400,data-table,structured .data (relocs/pointers present),dll_00A6_dlla6func0.c,high
0x803193C0,.data,32,data-table,structured .data (relocs/pointers present),dll_00AB_projdummy.c,high
0x80319410,.data,32,data-table,structured .data (relocs/pointers present),dll_00AC_projmagicstream.c,high
0x80319460,.data,32,data-table,structured .data (relocs/pointers present),dll_00AD_projmagicemmit1.c,high
0x803194A8,.data,32,data-table,structured .data (relocs/pointers present),dll_00AE_projroombeam.c,high
0x803194F8,.data,32,data-table,structured .data (relocs/pointers present),dll_00AF_projlightning1.c,high
0x80319548,.data,32,data-table,structured .data (relocs/pointers present),dll_00B0_projlightning2.c,high
0x80319598,.data,32,data-table,structured .data (relocs/pointers present),dll_00B1_projlightning3.c,high
0x803195E8,.data,32,data-table,structured .data (relocs/pointers present),dll_00B3_projlightning4.c,high
0x80319638,.data,32,data-table,structured .data (relocs/pointers present),dll_00B8_projlightning5.c,high
0x80319688,.data,32,data-table,structured .data (relocs/pointers present),dll_00B9_projlightning7.c,high
0x803196D8,.data,32,data-table,structured .data (relocs/pointers present),dll_00BA_projlightning6.c,high
0x80319720,.data,32,data-table,structured .data (relocs/pointers present),dll_00B4_projenergise1.c,high
0x80319768,.data,32,data-table,structured .data (relocs/pointers present),dll_00B5_projenergise2.c,high
0x803197B0,.data,32,data-table,structured .data (relocs/pointers present),dll_00B2_projrobotfire.c,high
0x803197F8,.data,32,data-table,structured .data (relocs/pointers present),dll_00B6_projsquirt1.c,high
0x80319840,.data,32,data-table,structured .data (relocs/pointers present),dll_00B7_projship1.c,high
0x80319888,.data,32,data-table,structured .data (relocs/pointers present),dll_00BB_projwallpower.c,high
0x803198D8,.data,32,data-table,structured .data (relocs/pointers present),dll_00BC_projquakeshock.c,high
0x80319920,.data,32,data-table,structured .data (relocs/pointers present),dll_00BD_projsunshock.c,high
0x80319968,.data,32,data-table,structured .data (relocs/pointers present),dll_00BE_projtesla.c,high
0x803199B0,.data,32,data-table,structured .data (relocs/pointers present),dll_00BF_projcore1.c,high
0x803199F8,.data,32,data-table,structured .data (relocs/pointers present),dll_00C0_projcore2.c,high
0x80319A40,.data,32,data-table,structured .data (relocs/pointers present),dll_00C1_projcore3.c,high
0x80319A88,.data,140,ptr-table,reloc-dense pointer/jump/vtable table,dll_00C2_projdfp1r.c,high
0x80319B58,.data,348,ptr-table,reloc-dense pointer/jump/vtable table,dll_0001_camcontrol.c,high
0x80319CE8,.data,720,ptr-table,reloc-dense pointer/jump/vtable table,camshipbattle5c.c,high
0x8031A01C,.data,196,ptr-table,reloc-dense pointer/jump/vtable table,dll_0057_cameramodetitle.c,high
0x8031A148,.data,128,data-table,structured .data (relocs/pointers present),dll_002E_moveLib.c,high
0x8031A214,.data,412,data-table,structured .data (relocs/pointers present),dll_0034_titlemenu.c,high
0x8031A4B0,.data,780,data-table,opaque .data table (needs inspection),n_options.c,high
0x8031A8D0,.data,1636,data-table,structured .data (relocs/pointers present),dll_0036_entersavenamescreen.c,high
0x8031B050,.data,36,float-pool,numeric constant table,headdisplay.c,high
0x8031B818,.data,2448,data-table,structured .data (relocs/pointers present),dll_003B_menu.c,high
0x8031C2A8,.data,608,data-table,structured .data (relocs/pointers present),dll_003C_tumbleweedbush.c,high
