## US10 -> KIOSK (.text), mapped on side A via GSAE01
TU                                                   sites    delta  functions touched
dlls/modgfx/129/129.c                                    6       +c  dll_81_spawnEffect
dlls/modgfx/130/130.c                                    3       +c  dll_82_spawnEffect
dlls/modgfx/131/131.c                                    2       +4  dll_83_spawnEffect
dlls/modgfx/132/132.c                                    1       +4  dll_84_spawnEffect
dlls/modgfx/133/133.c                                    2       +4  dll_85_spawnEffect
dlls/modgfx/135/135.c                                    1       +4  dll_87_spawnEffect
dlls/modgfx/136/136.c                                    1       +4  dll_88_spawnEffect
dlls/modgfx/137/137.c                                    1       +4  dll_89_spawnEffect
dlls/modgfx/138/138.c                                    1       +8  dll_8A_spawnEffect
dlls/modgfx/139/139.c                                    2       +0  dll_8B_spawnEffect
dlls/modgfx/140/140.c                                    1       +4  dll_8C_spawnEffect
dlls/modgfx/141/141.c                                    3       +c  dll_8D_spawnEffect
dlls/modgfx/143/143.c                                    1       +8  dll_8F_spawnEffect
dlls/modgfx/145/145.c                                    1       +8  dll_91_spawnEffect
dlls/modgfx/147/147.c                                    1       +8  dll_93_spawnEffect
dlls/modgfx/149/149.c                                    4       +8  dll_95_spawnEffect
dlls/modgfx/150/150.c                                    1       +8  dll_96_spawnEffect
dlls/modgfx/152/152.c                                    6       +8  dll_98_spawnEffect
dlls/modgfx/155/155.c                                    1       +4  dll_9B_spawnEffect
dlls/modgfx/156/156.c                                    1      -18  dll_9C_spawnEffect
dlls/modgfx/157/157.c                                    1       +4  dll_9D_spawnEffect
dlls/modgfx/158/158.c                                    1       +4  dll_9E_spawnEffect
dlls/modgfx/159/159.c                                    1       +4  dll_9F_spawnEffect
dlls/modgfx/160/160.c                                    1       +4  dll_A0_spawnEffect
dlls/modgfx/161/161.c                                    2       +4  dll_A1_spawnEffect
dlls/modgfx/162/162.c                                    1       +4  dll_A2_spawnEffect
dlls/modgfx/165/165.c                                    2       +4  dll_A5_spawnEffect
dlls/modgfx/167/167.c                                    2       +4  dll_A7_spawnEffect
dlls/modgfx/168/168.c                                    1       +4  dll_A8_spawnEffect
dlls/modgfx/169/169.c                                    1       +4  dll_A9_spawnEffect
dlls/modgfx/170/170.c                                    1       +0  dll_AA_spawnSequence
dlls/projgfx/187/187.c                                   1       -8  projwallpower_doUnsupported
dlls/engine/1_camcontrol/camcontrol.c                   40     -58c  camcontrol_initialiseTargetReticle, camcontrol_findBestTarget, camcontrol_updateMoveAverage, firstPersonZoomOutOnExit, camcontrol_applyState, Camera_minimapShowHelpTextForTarget, camcontrol_setAButtonIconForTarget, camcontrol_updateTargetFeedback, camcontrol_getRelativePosition, camcontrol_loadTriggeredCamAction, Camera_getCamActionsBinEntry, Camera_setMode, Camera_getDefaultHandlerEntry, Camera_update, Camera_init
dlls/engine/66/66.c                                     43     -460  camcontrol_traceMove, camcontrol_onTargetTraceBlocked, camcontrol_traceFromTarget, camcontrol_getTargetPosition, CameraModeNormal_updateTargetAction, CameraModeNormal_chooseWallAvoidanceDirection, CameraModeNormal_updateWallAvoidance, CameraModeNormal_updateVerticalBounds, CameraModeNormal_updateSlide, CameraModeNormal_follow, CameraModeNormal_free, CameraModeNormal_update, CameraModeNormal_init
dlls/engine/67/67.c                                     15     -1e0  CameraModeStaffAnim_samplePath, CameraModeStaffAnim_updateTargetAction, CameraModeStaffAnim_update, CameraModeStaffAnim_init
dlls/engine/69/69.c                                      4      -18  CameraModeTalk_free, CameraModeTalk_update
dlls/engine/68/68.c                                     16      -90  firstPersonPlaceCamera, firstPersonDoControls, firstPersonEnter, CameraModeViewfinder_copyToCurrent, CameraModeViewfinder_free, CameraModeViewfinder_update, CameraModeViewfinder_init
dlls/engine/70/70.c                                      1      -30  CameraModeDebug_update
dlls/engine/72/72.c                                      5     +514  CameraModeStatic_copyToCurrent, CameraModeStatic_update, CameraModeStatic_init
dlls/engine/71/71.c                                     13      -48  CameraModePath_free, CameraModePath_update, CameraModePath_init
dlls/engine/73/73.c                                      9     -2b4  CameraModeCombat_free, CameraModeCombat_update, CameraModeCombat_init
dlls/engine/74/74.c                                      2      -38  CameraModeShipBattle_free, CameraModeShipBattle_update
dlls/engine/75/75.c                                      4      -f4  CameraModeClimb_update, CameraModeClimb_init
dlls/engine/76/76.c                                      1      -50  CameraModeFixed_init
dlls/engine/77/77.c                                      9     -194  CameraModeNpcSpeak_free, CameraModeNpcSpeak_update, CameraModeNpcSpeak_init
dlls/engine/78/78.c                                      2      -38  CameraModeWorldMap_free, CameraModeWorldMap_update
dlls/engine/79/79.c                                      2     -3a8  CameraMode4F_free, CameraMode4F_init
dlls/engine/81/81.c                                      2      -14  CameraModeCannon_init
dlls/engine/82/82.c                                      2      -98  CameraModeForceBehind_update
dlls/engine/83/83.c                                      5      -a8  CameraModeCloudRunner_free, CameraModeCloudRunner_update, CameraModeCloudRunner_init
dlls/engine/84/84.c                                      2      -38  CameraMode54_free, CameraMode54_update
dlls/engine/85/85.c                                      2      -18  CameraMode55_free, CameraMode55_init
dlls/engine/86/86.c                                      2      -24  CameraModeArwing_update
dlls/engine/25/25.c                                      7      -74  dll_19_changeWeapon, dll_19_initGroundBaddie, dll_19_updateHitReaction, dll_19_dropCollectable
dlls/engine/46/46.c                                      3      -18  dll_2E_updateSequenceTurn, dll_2E_updateLookAt
dlls/engine/50/50.c                                      5     -1d4  runLoadingScreens, initLoadingScreenTextures, TitleScreenInit_initialise
dlls/engine/52_n_attractmode/n_attractmode.c            15     -2c4  n_attractmode_releaseMovieBuffers, n_attractmode_prepareMovie, TitleMenu_run, TitleMenu_initialise
main/thp/dll_3b.c                                        1       +8  CreateAudioDecodeThread
main/thp/dll_3e.c                                        5       -8  PlayControl, prepareAttractMode
main/thp/picmenu.c                                       5      +14  movieLoad, AttractMovieAudio_Init
main/thp/THPRead.c                                       1       +4  CreateReadThread
main/thp/THPVideoDecode.c                                3     -1b4  AttractMovieVideo_Decode, CreateVideoDecodeThread
dlls/engine/53/53.c                                     19     +1ec  saveSelect_drawText[NEWFN], saveSelectSetSlot, saveFileSelect_init, saveSelectGoToChapterSelect, saveSelect_loadSlotSummaries, saveSelectGoToChooseSlot, saveSelectScreenFree, SaveSelectScreen_run, SaveSelectScreen_release, SaveSelectScreen_initialise
dlls/engine/54/54.c                                      6      +18  EnterSaveNameScreen_run, EnterSaveNameScreen_release
dlls/engine/55/55.c                                     18     -1f0  optionsMenu_applyAudioSetting, optionsMenu_applyGameplaySetting, optionsMenu_openSelectedSubmenu, languageMenuInit, OptionsScreen_render, OptionsScreen_frameStart, OptionsScreen_initialise
dlls/engine/0/0.c                                      227    -1180  cMenuPlayTrickyCommandSfx, gameUiLoadResources, showDeathMenu, gameUiSetupTexturedQuadTev, pauseMenuSetHoloTransform, gameUiResetMenuState, fearTestMeterDraw, hudDrawAirMeter, GameUI_initAirMeter, drawViewFinderHud, hudDrawStatusBarsAndCounters, hudDrawCounter, pauseMenuDrawStatus, hudDrawButtons, cMenuSetItems, cMenuRingModelRenderFn, cMenuRingIconRenderFn, drawTrickyHudOverlay, headDisplayDraw, drawArwingHud, pauseMenuDraw, pauseMenuDrawStatusPage, pauseMenuDrawTaskHintPanel, pauseMenuDrawGrid, pauseMenuDrawGridCell, timeListDraw, highScoreScreenDraw, registerNewScore, hudDrawCommunicatorAlert, pauseMenuDoSave, pauseMenuUpdate, pauseMenuUpdateFadeAndBack, pauseMenuRunSubmenu, timeListPromptUpdate, pauseMenuAnimateCarousel, pauseMenuInit, mapScreenDrawHud, pauseMenuDrawText, drawWorldMapHud, pauseMenuSetupTitle, cMenuRun, gameUiUpdateNpcDialogue, GameUI_hudDraw, GameUI_frameEnd, GameUI_release, GameUI_initialise
dlls/engine/60/60.c                                      2       +8  Link_render, Link_setup
dlls/engine/61/61.c                                      4     -174  TitleMenuItem_render, TitleMenuItem_update
dlls/engine/49/49.c                                     10     -278  Minimap_update, Minimap_frameStart
dlls/engine/65/65.c                                      4      -68  WarpstoneUI_showUI
